sale_id,sale_datetime,product_id,product_name,brand,category,manager,supplier_name,supplier_country,region_name,city,quantity,unit_price,discount,revenue,payment_type,sales_channel
51,2024-02-16 11:37:08,117,Philips Printers-199,Philips,Printers,Olena Koval,USADirect,USA,Ivano-Frankivska,Ivano-Frankivsk,3,596.21,189.69,1598.94,online,phone_order
52,2024-12-14 16:04:00,11,Huawei Smartphone-201,Huawei,Smartphones,Olena Koval,GigaTrade,Germany,Poltavska,Poltava,1,959.77,64.35,895.42,cash,marketplace
53,2023-02-26 19:28:50,14,Canon Smartphone-337,Canon,Smartphones,Volodymyr Ivanov,TechImport UA,Ukraine,Lvivska,Lviv,1,2459.4,375.66,2083.74,online,online_store
54,2024-04-22 09:53:57,152,Dell TV-499,Dell,TV,Natalia Romanyuk,NordicParts,Sweden,Dnipropetrovska,Dnipro,3,843.79,257.03,2274.34,invoice,store
55,2025-02-17 16:06:42,81,OnePlus Smartwatch-561,OnePlus,Smartwatches,Andriy Shevchenko,BalkanStore,Romania,Zaporizka,Zaporizhzhia,1,200.37,16.32,184.05,invoice,store
56,2023-01-01 16:25:05,21,Xiaomi Laptops-918,Xiaomi,Laptops,Kateryna Marchenko,GigaTrade,Germany,Ternopilska,Ternopil,1,1377.83,70.57,1307.26,online,phone_order
57,2023-06-07 12:46:54,167,HP Kitchen-957,HP,Kitchen,Serhii Kravchenko,BalkanStore,Romania,Ternopilska,Ternopil,1,605.06,200.81,404.25,card,wholesale
58,2024-02-22 19:02:37,148,Acer TV-633,Acer,TV,Volodymyr Ivanov,EuroSupply,Poland,Ivano-Frankivska,Ivano-Frankivsk,2,945.3,219.71,1670.89,invoice,online_store
59,2024-03-24 18:47:52,43,HP Home Appli-825,HP,Home Appliances,Maria Bondar,NordicParts,Sweden,Kharkivska,Kharkiv,1,659.45,115.77,543.68,cash,marketplace
60,2023-09-22 13:53:13,120,Apple Networking-367,Apple,Networking,Iryna Savchuk,AsiaWholesale,China,Vinnytska,Vinnytsia,1,93.31,8.12,85.19,cash,wholesale
61,2023-03-24 21:03:50,106,Panasonic Printers-114,Panasonic,Printers,Olena Koval,AsiaWholesale,China,Zaporizka,Zaporizhzhia,5,278.89,222.94,1171.51,cash,store
62,2023-06-28 15:29:33,122,Seagate Networking-417,Seagate,Networking,Olena Koval,AsiaWholesale,China,Ivano-Frankivska,Ivano-Frankivsk,2,662.58,160.86,1164.3,online,online_store
63,2024-12-13 21:32:55,21,Xiaomi Laptops-918,Xiaomi,Laptops,Olena Koval,LocalDistributor,Ukraine,Vinnytska,Vinnytsia,2,2139.12,348.99,3929.25,invoice,wholesale
64,2023-04-26 11:24:17,128,Nikon Networking-818,Nikon,Networking,Kateryna Marchenko,TechImport UA,Ukraine,Vinnytska,Vinnytsia,1,101.32,12.7,88.62,invoice,marketplace
65,2024-08-07 09:44:07,52,Xiaomi Gaming-477,Xiaomi,Gaming,Oksana Hladka,AsiaWholesale,China,Ivano-Frankivska,Ivano-Frankivsk,1,690.51,63.97,626.54,online,wholesale
66,2023-04-04 10:19:19,81,OnePlus Smartwatch-561,OnePlus,Smartwatches,Andriy Shevchenko,GigaTrade,Germany,Odeska,Odesa,2,212.99,65.2,360.78,card,wholesale
67,2024-08-21 14:30:38,84,Philips Smartwatch-435,Philips,Smartwatches,Ivan Petrenko,AsiaWholesale,China,Odeska,Odesa,1,317.45,47.04,270.41,invoice,online_store
68,2023-07-22 15:57:27,3,Philips Smartphone-227,Philips,Smartphones,Ivan Petrenko,EuroSupply,Poland,Kyivska,Kyiv,1,1100.08,89.6,1010.48,card,wholesale
69,2024-08-08 20:59:16,72,Microsoft Headphones-325,Microsoft,Headphones,Volodymyr Ivanov,AsiaWholesale,China,Kyivska,Kyiv,1,38.34,3.45,34.89,invoice,marketplace
70,2024-11-06 20:16:19,112,Huawei Printers-405,Huawei,Printers,Ivan Petrenko,TechImport UA,Ukraine,Poltavska,Poltava,1,1745.1,31.7,1713.4,cash,online_store
71,2025-02-09 15:01:32,122,Seagate Networking-417,Seagate,Networking,Dmytro Melnyk,TechImport UA,Ukraine,Ternopilska,Ternopil,3,919.16,168.51,2588.97,cash,online_store
72,2023-10-08 13:07:23,78,Lenovo Smartwatch-680,Lenovo,Smartwatches,Andriy Shevchenko,BalkanStore,Romania,Lvivska,Lviv,1,72.14,8.53,63.61,online,store
73,2023-12-27 18:30:48,135,Sony Storage-654,Sony,Storage,Natalia Romanyuk,AsiaWholesale,China,Kharkivska,Kharkiv,5,238.68,147.08,1046.32,online,online_store
74,2025-02-16 08:29:19,35,Asus Accessorie-796,Asus,Accessories,Ivan Petrenko,NordicParts,Sweden,Kharkivska,Kharkiv,2,125.83,40.55,211.11,card,store
75,2023-04-05 11:04:47,162,Canon Kitchen-125,Canon,Kitchen,Oksana Hladka,EuroSupply,Poland,Kharkivska,Kharkiv,1,1197.07,196.1,1000.97,online,wholesale
76,2023-10-24 08:30:19,42,Google Home Appli-210,Google,Home Appliances,Dmytro Melnyk,AsiaWholesale,China,Lvivska,Lviv,1,903.86,19.33,884.53,invoice,phone_order
77,2023-06-05 16:43:23,26,Nikon Laptops-815,Nikon,Laptops,Dmytro Melnyk,USADirect,USA,Vinnytska,Vinnytsia,2,1951.43,518.54,3384.32,card,marketplace
78,2024-08-24 17:28:57,27,OnePlus Laptops-606,OnePlus,Laptops,Ivan Petrenko,TechImport UA,Ukraine,Lvivska,Lviv,2,904.57,152.18,1656.96,online,phone_order
79,2023-12-07 18:18:55,97,Sony Cameras-798,Sony,Cameras,Olena Koval,USADirect,USA,Kharkivska,Kharkiv,3,1365.92,622.5,3475.26,invoice,wholesale
80,2023-01-29 10:27:10,18,Apple Laptops-334,Apple,Laptops,Maria Bondar,NordicParts,Sweden,Zaporizka,Zaporizhzhia,1,1065.96,133.47,932.49,card,phone_order
81,2024-01-14 12:36:17,58,Dell Monitors-467,Dell,Monitors,Ivan Petrenko,USADirect,USA,Dnipropetrovska,Dnipro,1,360.44,41.22,319.22,online,online_store
82,2024-08-15 11:52:05,175,Philips Wearables-292,Philips,Wearables,Dmytro Melnyk,AsiaWholesale,China,Kharkivska,Kharkiv,2,466.27,93.14,839.4,card,marketplace
83,2024-08-16 18:42:25,27,OnePlus Laptops-606,OnePlus,Laptops,Olena Koval,TechImport UA,Ukraine,Dnipropetrovska,Dnipro,2,860.0,200.1,1519.9,cash,wholesale
84,2024-09-04 19:30:18,116,Microsoft Printers-709,Microsoft,Printers,Serhii Kravchenko,GigaTrade,Germany,Vinnytska,Vinnytsia,2,432.09,144.04,720.14,invoice,wholesale
85,2023-09-19 18:45:06,102,Samsung Cameras-850,Samsung,Cameras,Ivan Petrenko,AsiaWholesale,China,Vinnytska,Vinnytsia,10,1879.54,2486.99,16308.41,online,wholesale
86,2023-02-14 08:44:50,64,Nikon Monitors-988,Nikon,Monitors,Andriy Shevchenko,AsiaWholesale,China,Odeska,Odesa,1,426.67,76.2,350.47,online,wholesale
87,2023-03-11 13:13:38,45,Bosch Home Appli-725,Bosch,Home Appliances,Pavlo Boyko,NordicParts,Sweden,Kyivska,Kyiv,4,485.66,267.01,1675.63,online,phone_order
88,2024-10-23 10:45:28,3,Philips Smartphone-227,Philips,Smartphones,Maria Bondar,AsiaWholesale,China,Zaporizka,Zaporizhzhia,4,688.44,28.8,2724.96,invoice,marketplace
89,2023-03-21 13:06:51,68,Bosch Headphones-158,Bosch,Headphones,Iryna Savchuk,GigaTrade,Germany,Vinnytska,Vinnytsia,1,327.96,42.01,285.95,cash,wholesale
90,2023-10-09 16:27:17,148,Acer TV-633,Acer,TV,Oksana Hladka,AsiaWholesale,China,Ivano-Frankivska,Ivano-Frankivsk,1,667.06,41.87,625.19,card,marketplace
91,2025-01-04 21:10:42,161,Apple Kitchen-698,Apple,Kitchen,Dmytro Melnyk,TechImport UA,Ukraine,Poltavska,Poltava,1,615.09,63.88,551.21,card,online_store
92,2023-09-27 08:24:02,4,Dell Smartphone-278,Dell,Smartphones,Natalia Romanyuk,BalkanStore,Romania,Ternopilska,Ternopil,1,1279.14,109.14,1170.0,online,store
93,2023-10-23 08:51:02,166,Google Kitchen-354,Google,Kitchen,Maria Bondar,GigaTrade,Germany,Lvivska,Lviv,2,945.43,72.62,1818.24,card,phone_order
94,2023-03-03 12:35:04,123,Canon Networking-694,Canon,Networking,Iryna Savchuk,NordicParts,Sweden,Lvivska,Lviv,1,308.14,17.42,290.72,online,wholesale
95,2023-01-21 21:45:30,19,OnePlus Laptops-495,OnePlus,Laptops,Oksana Hladka,USADirect,USA,Odeska,Odesa,2,1002.61,166.1,1839.12,online,marketplace
96,2023-12-24 19:48:15,49,Lenovo Gaming-292,Lenovo,Gaming,Iryna Savchuk,LocalDistributor,Ukraine,Odeska,Odesa,1,1091.78,84.31,1007.47,cash,online_store
97,2024-07-13 14:53:10,73,Canon Headphones-266,Canon,Headphones,Serhii Kravchenko,USADirect,USA,Vinnytska,Vinnytsia,5,633.09,165.21,3000.24,online,wholesale
98,2023-01-24 11:02:27,42,Google Home Appli-210,Google,Home Appliances,Iryna Savchuk,NordicParts,Sweden,Kyivska,Kyiv,4,734.87,321.4,2618.08,cash,store
99,2023-10-02 09:41:04,121,LG Networking-730,LG,Networking,Dmytro Melnyk,BalkanStore,Romania,Odeska,Odesa,2,640.23,17.05,1263.41,invoice,wholesale
100,2025-02-27 13:31:15,81,OnePlus Smartwatch-561,OnePlus,Smartwatches,Ivan Petrenko,AsiaWholesale,China,Zaporizka,Zaporizhzhia,1,191.7,12.84,178.86,cash,wholesale
101,2024-05-29 21:34:00,97,Sony Cameras-798,Sony,Cameras,Serhii Kravchenko,LocalDistributor,Ukraine,Odeska,Odesa,1,1910.05,203.85,1706.2,online,online_store
102,2024-08-02 19:45:11,173,Dell Wearables-250,Dell,Wearables,Kateryna Marchenko,GigaTrade,Germany,Odeska,Odesa,2,200.37,40.13,360.61,invoice,marketplace
103,2024-07-17 19:45:35,132,Google Networking-603,Google,Networking,Dmytro Melnyk,LocalDistributor,Ukraine,Odeska,Odesa,2,491.64,7.74,975.54,invoice,marketplace
104,2023-12-15 20:02:24,161,Apple Kitchen-698,Apple,Kitchen,Dmytro Melnyk,LocalDistributor,Ukraine,Kyivska,Kyiv,1,561.41,26.59,534.82,invoice,phone_order
105,2025-02-01 16:44:40,35,Asus Accessorie-796,Asus,Accessories,Natalia Romanyuk,EuroSupply,Poland,Odeska,Odesa,5,115.16,2.33,573.47,invoice,marketplace
106,2023-08-13 19:20:36,177,Bosch Wearables-517,Bosch,Wearables,Oksana Hladka,USADirect,USA,Kyivska,Kyiv,2,316.94,58.66,575.22,online,phone_order
107,2023-09-06 18:13:36,136,Bosch Storage-266,Bosch,Storage,Oksana Hladka,EuroSupply,Poland,Zaporizka,Zaporizhzhia,1,117.34,5.11,112.23,invoice,store
108,2023-02-10 10:43:53,19,OnePlus Laptops-495,OnePlus,Laptops,Volodymyr Ivanov,EuroSupply,Poland,Kyivska,Kyiv,5,1109.91,912.96,4636.59,invoice,marketplace
109,2024-08-29 14:08:14,165,Canon Kitchen-857,Canon,Kitchen,Olena Koval,GigaTrade,Germany,Ivano-Frankivska,Ivano-Frankivsk,1,1175.54,162.89,1012.65,card,store
110,2023-10-10 11:43:14,87,Dell Smartwatch-751,Dell,Smartwatches,Oksana Hladka,TechImport UA,Ukraine,Odeska,Odesa,1,483.24,0.48,482.76,card,phone_order
111,2024-06-28 16:40:09,87,Dell Smartwatch-751,Dell,Smartwatches,Ivan Petrenko,USADirect,USA,Poltavska,Poltava,2,291.51,8.41,574.61,invoice,online_store
112,2024-07-18 18:47:07,80,Nikon Smartwatch-557,Nikon,Smartwatches,Serhii Kravchenko,EuroSupply,Poland,Kharkivska,Kharkiv,1,531.15,76.2,454.95,invoice,store
113,2023-01-14 19:33:09,138,HP Storage-555,HP,Storage,Dmytro Melnyk,TechImport UA,Ukraine,Odeska,Odesa,1,311.12,39.15,271.97,invoice,marketplace
114,2023-05-08 13:03:58,167,HP Kitchen-957,HP,Kitchen,Pavlo Boyko,GigaTrade,Germany,Dnipropetrovska,Dnipro,1,744.8,13.39,731.41,online,online_store
115,2023-10-01 19:44:34,84,Philips Smartwatch-435,Philips,Smartwatches,Serhii Kravchenko,LocalDistributor,Ukraine,Ternopilska,Ternopil,1,369.09,66.09,303.0,card,online_store
116,2023-01-07 12:27:14,15,Sony Laptops-874,Sony,Laptops,Ivan Petrenko,EuroSupply,Poland,Kharkivska,Kharkiv,2,1788.71,482.28,3095.14,card,wholesale
117,2024-05-25 17:58:00,119,HP Networking-305,HP,Networking,Serhii Kravchenko,NordicParts,Sweden,Kyivska,Kyiv,1,445.69,78.03,367.66,invoice,online_store
118,2023-10-10 12:27:46,108,Bosch Printers-430,Bosch,Printers,Serhii Kravchenko,AsiaWholesale,China,Vinnytska,Vinnytsia,2,197.27,11.47,383.07,cash,wholesale
119,2023-11-05 13:31:58,20,Apple Laptops-828,Apple,Laptops,Olena Koval,NordicParts,Sweden,Poltavska,Poltava,1,306.33,37.47,268.86,online,wholesale
120,2024-07-24 08:20:42,61,Philips Monitors-115,Philips,Monitors,Dmytro Melnyk,NordicParts,Sweden,Zaporizka,Zaporizhzhia,1,547.74,199.83,347.91,invoice,phone_order
121,2024-02-20 12:47:20,176,Panasonic Wearables-439,Panasonic,Wearables,Dmytro Melnyk,NordicParts,Sweden,Odeska,Odesa,1,266.7,9.0,257.7,invoice,marketplace
122,2024-08-19 16:43:38,119,HP Networking-305,HP,Networking,Natalia Romanyuk,NordicParts,Sweden,Ternopilska,Ternopil,4,413.83,47.96,1607.36,online,online_store
123,2024-08-20 09:24:22,19,OnePlus Laptops-495,OnePlus,Laptops,Dmytro Melnyk,TechImport UA,Ukraine,Kharkivska,Kharkiv,1,1566.46,185.67,1380.79,online,wholesale
124,2023-12-05 10:11:12,138,HP Storage-555,HP,Storage,Maria Bondar,BalkanStore,Romania,Kharkivska,Kharkiv,1,263.52,29.44,234.08,card,wholesale
125,2024-12-13 20:17:57,10,Apple Smartphone-779,Apple,Smartphones,Iryna Savchuk,GigaTrade,Germany,Kharkivska,Kharkiv,1,470.14,27.23,442.91,invoice,phone_order
126,2024-01-11 14:40:49,8,Sony Smartphone-429,Sony,Smartphones,Serhii Kravchenko,AsiaWholesale,China,Vinnytska,Vinnytsia,1,3777.08,317.5,3459.58,invoice,marketplace
127,2023-12-08 11:09:03,25,Seagate Laptops-663,Seagate,Laptops,Pavlo Boyko,GigaTrade,Germany,Kyivska,Kyiv,1,2378.47,309.68,2068.79,invoice,online_store
128,2024-08-12 17:44:56,132,Google Networking-603,Google,Networking,Iryna Savchuk,EuroSupply,Poland,Ternopilska,Ternopil,1,547.19,8.42,538.77,cash,online_store
129,2024-03-15 12:12:27,10,Apple Smartphone-779,Apple,Smartphones,Maria Bondar,LocalDistributor,Ukraine,Dnipropetrovska,Dnipro,1,239.18,0.04,239.14,invoice,wholesale
130,2023-03-20 08:20:01,96,Seagate Cameras-392,Seagate,Cameras,Natalia Romanyuk,AsiaWholesale,China,Poltavska,Poltava,1,841.04,80.06,760.98,card,store
131,2024-02-08 13:09:48,124,Huawei Networking-757,Huawei,Networking,Ivan Petrenko,GigaTrade,Germany,Kharkivska,Kharkiv,1,403.8,66.87,336.93,cash,store
132,2024-01-07 21:14:22,49,Lenovo Gaming-292,Lenovo,Gaming,Oksana Hladka,TechImport UA,Ukraine,Poltavska,Poltava,2,835.31,12.3,1658.32,invoice,marketplace
133,2023-09-15 13:53:50,180,Panasonic Wearables-938,Panasonic,Wearables,Dmytro Melnyk,GigaTrade,Germany,Odeska,Odesa,1,419.4,75.26,344.14,online,online_store
134,2023-09-22 19:15:16,169,Nikon Kitchen-814,Nikon,Kitchen,Kateryna Marchenko,NordicParts,Sweden,Kharkivska,Kharkiv,1,288.32,14.5,273.82,invoice,wholesale
135,2023-09-29 10:55:42,134,Nikon Storage-469,Nikon,Storage,Oksana Hladka,TechImport UA,Ukraine,Kharkivska,Kharkiv,1,200.5,10.34,190.16,card,wholesale
136,2024-10-29 21:57:22,127,Sony Networking-316,Sony,Networking,Dmytro Melnyk,USADirect,USA,Ternopilska,Ternopil,2,602.5,188.57,1016.43,card,phone_order
137,2024-07-18 19:26:25,12,Lenovo Smartphone-691,Lenovo,Smartphones,Serhii Kravchenko,GigaTrade,Germany,Odeska,Odesa,2,2606.63,455.58,4757.68,card,online_store
138,2024-12-25 08:55:16,48,HP Home Appli-792,HP,Home Appliances,Dmytro Melnyk,USADirect,USA,Dnipropetrovska,Dnipro,1,1263.25,206.37,1056.88,card,online_store
139,2023-12-20 09:21:28,165,Canon Kitchen-857,Canon,Kitchen,Oksana Hladka,BalkanStore,Romania,Zaporizka,Zaporizhzhia,1,1689.41,83.42,1605.99,cash,online_store
140,2023-07-03 10:21:42,55,Apple Gaming-626,Apple,Gaming,Oksana Hladka,USADirect,USA,Kharkivska,Kharkiv,1,204.97,9.18,195.79,cash,store
141,2024-02-07 18:58:15,148,Acer TV-633,Acer,TV,Serhii Kravchenko,BalkanStore,Romania,Ternopilska,Ternopil,1,810.23,109.47,700.76,invoice,store
142,2023-05-18 14:18:47,123,Canon Networking-694,Canon,Networking,Kateryna Marchenko,EuroSupply,Poland,Poltavska,Poltava,1,396.33,10.27,386.06,card,online_store
143,2024-07-19 12:31:06,72,Microsoft Headphones-325,Microsoft,Headphones,Volodymyr Ivanov,NordicParts,Sweden,Lvivska,Lviv,3,47.28,7.75,134.09,cash,marketplace
144,2024-01-03 13:46:51,127,Sony Networking-316,Sony,Networking,Dmytro Melnyk,NordicParts,Sweden,Ternopilska,Ternopil,1,680.13,27.63,652.5,card,store
145,2025-02-28 09:37:02,37,Canon Accessorie-759,Canon,Accessories,Pavlo Boyko,BalkanStore,Romania,Kharkivska,Kharkiv,2,109.08,13.46,204.7,card,phone_order
146,2023-11-02 11:31:34,87,Dell Smartwatch-751,Dell,Smartwatches,Oksana Hladka,BalkanStore,Romania,Poltavska,Poltava,2,492.51,54.5,930.52,online,online_store
147,2023-02-12 12:20:11,61,Philips Monitors-115,Philips,Monitors,Natalia Romanyuk,EuroSupply,Poland,Kyivska,Kyiv,2,598.83,159.32,1038.34,invoice,store
